"measuredItemCPC","description","feedClassification"
"2121","Fish, frozen (excluding fish fillets and fish meat)","not for feed"
"2122","Fish fillets and meat; fish livers and roes","not for feed"
"2123","Fish, dried, whether or not salted, or in brine; smoked incl. fillets; edible fish meal","not for feed"
"2124","Fish, otherwise prepared or preserved; caviar and caviar substitutes","not for feed"
"2125","Crustaceans, frozen","not for feed"
"2126","Molluscs and other aquatic invertebrates, frozen, dried, salted or in brine","not for feed"
"2127","Crustaceans, otherwise prepared or preserved","not for feed"
"2128","Molluscs and other aquatic invertebrates, otherwise prepared or preserved","not for feed"
"2129","Flours, meals and pellets, inedible, and other products n.e., of fish or of crustaceans, molluscs or other aquatic invertebrates; dead fish,/ncrustaceans, molluscs or other aquatic invertebrates unfit for human consumption","not for feed"
"21210","Fish, frozen (excluding fish fillets and fish meat)","not for feed"
"21211","Freshwater fish, frozen","not for feed"
"21212","Salmonidae, frozen","not for feed"
"21213","Flatfish, frozen","not for feed"
"21214","Fish of Gadiformes, frozen","not for feed"
"21215","Tunas, skipjack or stripe-bellied bonito, frozen","not for feed"
"21216","Other pelagic fish, frozen","not for feed"
"21219","Other fish, frozen","not for feed"
"21221","Fish fillets and fish meat (whether or not minced), fresh or chilled","not for feed"
"21222","Fish fillets, frozen","not for feed"
"21223","Fish meat, whether or not minced, frozen","not for feed"
"21224","Fish fillets, dried, salted or in brine, but not smoked","not for feed"
"21225","Fish livers and roes, fresh or chilled","not for feed"
"21226","Fish livers and roes, frozen","not for feed"
"21227","Fish livers and roes dried, smoked, salted or in brine","not for feed"
"21231","Fish, dried, but not smoked; salted, but not dried or smoked; or in brine","not for feed"
"21232","Fish including fillets, smoked","not for feed"
"21233","Edible fish meal","not for feed"
"21234","Edible fish offal ; fish fins, heads, tails, maws and other edible fish offal","not for feed"
"21241","Prepared dishes and meals based on fish, molluscs and crustaceans","not for feed"
"21242","Fish, otherwise prepared or preserved","not for feed"
"21243","Caviar and caviar substitutes","not for feed"
"21250","Crustaceans, frozen","not for feed"
"21251","Crabs, frozen, dried, salted or in brine","not for feed"
"21252","Rock lobster and other sea crawfish, frozen, dried, salted or in brine","not for feed"
"21253","Lobsters, frozen, dried, salted or in brine","not for feed"
"21254","Norway lobsters, frozen, dried, salted or in brine","not for feed"
"21255","Cold-water shrimps and prawns, frozen, dried, salted or in brine","not for feed"
"21256","Other shrimps and prawns, frozen, dried, salted or in brine","not for feed"
"21259","Other crustaceans, frozen, dried, salted or in brine","not for feed"
"21261","Molluscs, frozen, dried, salted or in brine","not for feed"
"21262","Oysters, frozen, smoked, dried, salted or in brine","not for feed"
"21263","Mussels, frozen, smoked, dried, salted or in brine","not for feed"
"21264","Scallops, frozen, smoked, dried, salted or in brine","not for feed"
"21265","Clams, cockles and ark shells, frozen, smoked, dried, salted or in brine","not for feed"
"21266","Cuttle fish and squid, frozen","not for feed"
"21267","Octopus, frozen, smoked, dried, salted or in brine","not for feed"
"21268","Other molluscs, frozen, smoked, dried, salted or in brine","not for feed"
"21269","Other aquatic invertebrates, frozen, dried, salted or in brine","not for feed"
"21270","Crustaceans, otherwise prepared or preserved","not for feed"
"21280","Molluscs and other aquatic invertebrates, otherwise prepared or preserved","not for feed"
"21291","Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates","feedOnly"
"21299","Products n.e. of fish, crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates unfit for human consumption","not for feed"
"2131","Frozen vegetables, pulses and potatoes","not for feed"
"2132","Vegetable juices","not for feed"
"2133","Vegetables provisionally preserved","not for feed"
"2134","Vegetables, pulses and potatoes, preserved by vinegar or acetic acid","not for feed"
"2139","Other prepared and preserved vegetables, pulses and potatoes","not for feed"
"213A","Olives preserved","not for feed"
"213B","Venegetable preserved nec","not for feed"
"213C","Vegetable frozen","not for feed"
"213D","Vegetable preserved frozen","not for feed"
"21311","Beans, frozen","not for feed"
"21312","Peas, frozen","not for feed"
"21313","Potatoes, frozen","not for feed"
"21319","Other vegetables and pulses, frozen","not for feed"
"21319.01","Sweet Corn, Frozen","not for feed"
"21319.90","Other vegetables and pulses, frozen","not for feed"
"21321","Tomato juice","not for feed"
"21329","Other vegetable juices","not for feed"
"21330","Vegetables provisionally preserved","not for feed"
"21330.01","Olives, provisionally preserved","not for feed"
"21330.90","Other vegetables provisionally preserved","not for feed"
"21340","Vegetables, pulses and potatoes, preserved by vinegar or acetic acid","not for feed"
"21340.01","Olives, preserved by vinegar or acetic acid","not for feed"
"21340.90","Other vegetable preserved by vinegar or acetic acid","not for feed"
"21391","Prepared dishes and meals based on vegetables, pulses and potatoes","not for feed"
"21392","Flour, meal, powder, flakes, granules and pellets of potatoes","not for feed"
"21393","Dried vegetables","not for feed"
"21394","Potatoes, otherwise prepared or preserved","not for feed"
"21395","Beans, otherwise prepared or preserved, not frozen","not for feed"
"21396","Peas, otherwise prepared or preserved, not frozen","not for feed"
"21397","Mushrooms and truffles, otherwise prepared or preserved","not for feed"
"21399","Other vegetables and pulses, preserved other than by vinegar, acetic acid or sugar, n.e.","not for feed"
"21393.01","Dried Mushrooms","not for feed"
"21393.90","Vegetables, Dehydrated","not for feed"
"21397.01","Canned Mushrooms","not for feed"
"21399.01","Paste of Tomatoes","not for feed"
"21399.02","Tomatoes, Peeled (O/T vinegar)","not for feed"
"21399.03","Sweet Corn, Prepared or Preserved","not for feed"
"21399.91","Olives, preserved other than by vinegar, acetic acid or sugar, n.e.c","not for feed"
"21399.92","Other  vegetables, Preserved n.e. (O/T vinegar)","not for feed"
"21399.93","Other vegetables, Preserved (Frozen)","not for feed"
"2141","Dried fruit","not for feed"
"2142","Shelled nuts","not for feed"
"2143","Fruit juices","not for feed"
"2149","Other prepared and preserved fruit and nuts (except by sugar)","not for feed"
"21411","Raisins","not for feed"
"21412","Plums, dried","not for feed"
"21419","Other dried fruit, n.e.","not for feed"
"21419.01","Apricots, Dried","not for feed"
"21419.02","Figs, Dried","not for feed"
"21419.03","Dates, Dried","not for feed"
"21419.05","Fruit, dried nes","not for feed"
"21419.90","Fruit, tropical dried n.e. (incl. mango and pineapple)","not for feed"
"21421","Groundnuts, shelled","not for feed"
"21422","Almonds, shelled","not for feed"
"21423","Hazelnuts, shelled","not for feed"
"21424","Cashew nuts, shelled","not for feed"
"21429","Other shelled nuts","not for feed"
"21429.01","Brazil Nuts, Shelled","not for feed"
"21429.02","Walnuts, Shelled","not for feed"
"21429.03","Chestnuts, Shelled","not for feed"
"21429.04","Pistachios, Shelled","not for feed"
"21429.05","Areca nuts, Shelled","not for feed"
"21429.07","Coconuts, Desiccated","not for feed"
"21429.90","Other shelled nuts n.e.c","not for feed"
"21431","Orange juice","not for feed"
"21432","Grapefruit juice","not for feed"
"21433","Pineapple juice","not for feed"
"21434","Grape juice","not for feed"
"21435","Apple juice","not for feed"
"21439","Other fruit juices, n.e.","not for feed"
"21431.01","Orange Juice","not for feed"
"21431.02","Orange Juice, Concentrated","not for feed"
"21432.01","Grapefruit Juice, Concentrated","not for feed"
"21433.01","Juice of Pineapples, Concentrated","not for feed"
"21435.01","Apple Juice","not for feed"
"21435.02","Apple Juice, Concentrated","not for feed"
"21439.01","Juice of Tangerine","not for feed"
"21439.02","Juice of Lemon","not for feed"
"21439.03","Lemon Juice, Concentrated","not for feed"
"21439.04","Juice of Citrus Fruit nes","not for feed"
"21439.05","Citrus Juice, Concentrated nes","not for feed"
"21439.06","Juice of plum","not for feed"
"21439.07","Juice of plum, concentrated","not for feed"
"21439.08","Juice of Mango","not for feed"
"21439.9","Juice of fruits n.e.","not for feed"
"21491","Pineapples, otherwise prepared or preserved","not for feed"
"21492","Peaches, otherwise prepared or preserved","not for feed"
"21493","Fruits and nuts, uncooked or cooked, frozen","not for feed"
"21494","Jams, fruit jellies, marmalades, fruit or nut purree and fruit or nut pastes","not for feed"
"21495","Nuts, groundnuts and other seeds, roasted, salted or otherwise prepared n.e.","not for feed"
"21496","Fruit and nuts, provisionally preserved, not for immediate consumption","not for feed"
"21499","Other prepared and preserved fruit and nuts, n.e.","not for feed"
"2149A","Prepared nuts","not for feed"
"2149B","Fruit prepared n.e.","not for feed"
"21493.01","Fruits uncooked or cooked, frozen","not for feed"
"21493.02","Nuts, uncooked or cooked, frozen","not for feed"
"21494.01","Jams, fruit jellies, marmalades, fruit purree and fruit pastes","not for feed"
"21494.02","Nut purree and nut pastes","not for feed"
"21495.01","Prepared Groundnuts","not for feed"
"21495.02","Peanut Butter","not for feed"
"21495.90","Other prepared nuts","not for feed"
"21496.01","Fruit, provisionally preserved, not for immediate consumption","not for feed"
"21496.02","Nuts, provisionally preserved, not for immediate consumption","not for feed"
"21499.01","Mango Pulp","not for feed"
"21499.02","Other prepared and preserved fruit, n.e.","not for feed"
"21499.03","Other prepared and preserved nuts, n.e.","not for feed"
"2151","Animal fats, unrendered","not for feed"
"2152","Animal fats and oils, rendered","not for feed"
"2153","Vegetable oils, crude","not for feed"
"2154","Vegetable oils, refined","not for feed"
"2155","Margarine and similar preparations","not for feed"
"2159","Animal fats and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared./n /n /n","not for feed"
"215A","Wool grease and lanolin","not for feed"
"21511","Fats, of pig and poultry, unrendered","not for feed"
"21512","Cattle fat, unrendered","not for feed"
"21513","Buffalo fat, unrendered","not for feed"
"21514","Sheep fat, unrendered","not for feed"
"21515","Goat fat, unrendered","not for feed"
"21519","Other animal fats, unrendered, n.e.","not for feed"
"21511.01","Fat of pigs","not for feed"
"21511.02","Pig, Butcher Fat","not for feed"
"21511.03","Fat of poultry","not for feed"
"21512.01","Cattle, Butcher Fat","not for feed"
"21519.01","Wool Grease","not for feed"
"21519.02","Fat of camels","not for feed"
"21519.03","Fat of other camelids","not for feed"
"21521","Pig fat, rendered","not for feed"
"21522","Poultry fat, rendered","not for feed"
"21523","Tallow","not for feed"
"21524","Fish-liver oils and their fractions","not for feed"
"21525","Fats and oils and their fractions, of fish, other than liver oils","not for feed"
"21526","Fats and oils and their fractions, of marine mammals","not for feed"
"21529","Other animal fats, rendered","not for feed"
"2152A","Oil from Fish and Marine Mammals","not for feed"
"21529.01","Lanolin","not for feed"
"21529.02","Lard Stearine and Lard Oil","not for feed"
"21529.03","Animal Oils and Fats nes","not for feed"
"21531","Soya bean oil, crude","not for feed"
"21532","Groundnut oil, crude","not for feed"
"21533","Sunflower-seed oil, crude","not for feed"
"21534","Rapeseed oil, crude","not for feed"
"21535","Palm oil, crude","not for feed"
"21536","Coconut oil, crude","not for feed"
"21537","Olive oil, crude","not for feed"
"21538","Cottonseed oil, crude","not for feed"
"21539","Other vegetable oils, crude, n.e.","not for feed"
"21541","Soya bean oil, refined","not for feed"
"21542","Groundnut oil, refined","not for feed"
"21543","Sunflower-seed oil, refined","not for feed"
"21544","Rapeseed oil, refined","not for feed"
"21545","Palm oil, refined","not for feed"
"21546","Coconut oil, refined","not for feed"
"21547","Olive oil, refined","not for feed"
"21548","Cottonseed oil, refined","not for feed"
"21549","Other vegetable oils, refined, n.e.","not for feed"
"21550","Margarine and similar preparations","not for feed"
"21590","Animal fats and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared./n /n /n","not for feed"
"2160","Cotton linters","not for feed"
"2161","Soya bean oil","not for feed"
"2162","Groundnut oil","not for feed"
"2163","Sunflower-seed and safflower-seed oil","not for feed"
"2164","Rape, colza and mustard oil","not for feed"
"2165","Palm oil","not for feed"
"2166","Coconut oil","not for feed"
"2167","Olive oil","not for feed"
"2168","Cottonseed oil","not for feed"
"2169","Other vegetable oils","not for feed"
"21611","Soya bean oil, crude","not for feed"
"21612","Soya bean oil, refined","not for feed"
"21621","Groundnut oil, crude","not for feed"
"21622","Groundnut oil, refined","not for feed"
"21631","Sunflower-seed and safflower-seed oil, crude","not for feed"
"21632","Sunflower-seed and safflower-seed oil, refined","not for feed"
"21631.01","Sunflower-seed oil, crude","not for feed"
"21631.02","Safflower-seed oil, crude","not for feed"
"21632.01","Sunflower-seed oil, refined","not for feed"
"21632.02","Safflower-seed oil, refined","not for feed"
"21641","Rape, colza and mustard oil, crude","not for feed"
"21642","Rape, colza and mustard oil, refined","not for feed"
"21641.01","Rapeseed or canola oil, crude","not for feed"
"21641.02","Mustard seed oil, crude","not for feed"
"21642.01","Rapeseed or canola oil, refined","not for feed"
"21642.02","Mustard seed oil, refined","not for feed"
"21651","Palm oil, crude","not for feed"
"21652","Palm oil, refined","not for feed"
"21661","Coconut oil, crude","not for feed"
"21662","Coconut oil, refined","not for feed"
"21671","Olive oil, crude","not for feed"
"21672","Olive oil, refined","not for feed"
"21673","Oil of olive residues","not for feed"
"21681","Cottonseed oil, crude","not for feed"
"21682","Cottonseed oil, refined","not for feed"
"21691","Other vegetable oils, crude and refiend","not for feed"
"21693","Vegetable oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared.","not for feed"
"21691.01","Oil of Rice Bran","not for feed"
"21691.02","Oil of Maize","not for feed"
"21691.03","Butter of Karite Nuts","not for feed"
"21691.04","Oil of Castor Beans","not for feed"
"21691.05","Oil of Tung Nuts","not for feed"
"21691.06","Jojoba Oil","not for feed"
"21691.07","Oil of Sesame Seed","not for feed"
"21691.08","Oil of Poppy Seed","not for feed"
"21691.09","Vegetable tallow","not for feed"
"21691.10","Stillingia oil","not for feed"
"21691.11","Oil of Kapok","not for feed"
"21691.12","Oil of Linseed","not for feed"
"21691.13","Oil of Hempseed","not for feed"
"21691.14","Oil of Palm Kernel","not for feed"
"21691.90","Other oil of Vegetable Origin, crude n.e.","not for feed"
"21693.01","Fat preparations n.e.","not for feed"
"21693.02","Castor oil, hydrogenated","not for feed"
"21693.03","Hydrogenated oils and fats","not for feed"
"21693.90","Other vegetable oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, n.e.","not for feed"
"2170","Margarine and similar preparations","not for feed"
"2171","Oil-cake and other solid residues, of vegetable fats or oils","feedOnly"
"2172","Flours and meals of oil seeds or oleaginous fruits, except those of mustard","not for feed"
"2173","Vegetable waxes (other than triglycerides), insect waxes and spermaceti; degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes","not for feed"
"21700","Margarine and similar preparations","not for feed"
"21700.01","Liquid Margarine","not for feed"
"21700.02","Margarine and Shortening","not for feed"
"21700.90","Fat Preparations nes","not for feed"
"21710","Oil-cake and other solid residues, of vegetable fats or oils","feedOnly"
"21720","Flours and meals of oil seeds or oleaginous fruits, except those of mustard","not for feed"
"21731","Vegetable waxes (other than triglycerides)","not for feed"
"21732","Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes","not for feed"
"2180","Cotton linters","not for feed"
"21800","Cotton linters","not for feed"
"2191","Oil-cake and other solid residues, of vegetable fats or oils","feedOnly"
"2192","Flours and meals of oil seeds or oleaginous fruits, except those of mustard","not for feed"
"2193","'Vegetable waxes (other than triglycerides), insect waxes and spermaceti; degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes","not for feed"
"21910","Oil-cake and other solid residues, of vegetable fats or oils","not for feed"
"21910.01","Cake of Rice Bran","feedOnly"
"21910.02","Cake of Maize","feedOnly"
"21910.03","Cake of  Soya beans","feedOnly"
"21910.04","Cake of  Groundnuts","feedOnly"
"21910.05","Cake of Copra","feedOnly"
"21910.06","Cake of  Palm kernel","feedOnly"
"21910.07","Cake of  Sunflower seed","feedOnly"
"21910.08","Cake of  Rapeseed","feedOnly"
"21910.09","Olive Residues","feedOnly"
"21910.10","Cake of  Safflowerseed","feedOnly"
"21910.11","Cake of  Sesame seed","feedOnly"
"21910.12","Cake of  Mustard seed","feedOnly"
"21910.13","Cake of  Poppy seed","feedOnly"
"21910.14","Cake of Kapok","feedOnly"
"21910.15","Cake of  Cottonseed","feedOnly"
"21910.16","Cake of  Linseed","feedOnly"
"21910.17","Cake of Hempseed","feedOnly"
"21910.90","Cake of Oilseeds nes","feedOnly"
"21920","Flours and meals of oil seeds or oleaginous fruits, except those of mustard","feedOnly"
"21931","Vegetable waxes (other than triglycerides)","feedOnly"
"21932","Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes","feedOnly"
"21932.01","Degras","feedOnly"
"21932.02","Residues of Fatty Substances","feedOnly"
"221","Processed liquid milk and cream","not for feed"
"222","Other dairy products","not for feed"
"223","Eggs, in shell, preserved or cooked","not for feed"
"2211","Processed liquid milk","not for feed"
"2212","Cream, fresh","not for feed"
"2213","Whey","not for feed"
"22110","Processed liquid milk","not for feed"
"22110.01","Standardized Milk","not for feed"
"22110.02","Skim Milk of Cows","not for feed"
"22110.03","Reconstituted Milk","not for feed"
"22110.04","Skim Milk of Buffalo","not for feed"
"22110.05","Skim Sheep Milk","not for feed"
"22110.06","Skim Milk of Goat","not for feed"
"22120","Cream, fresh","not for feed"
"22130","Whey","not for feed"
"22130.01","Whey, Condensed","not for feed"
"22130.02","Dry Whey","not for feed"
"22130.03","Whey, Fresh","not for feed"
"2221","Milk and cream in solid forms","not for feed"
"2222","Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in solid forms","not for feed"
"2223","Yoghurt and other fermented or acidified milk and cream","not for feed"
"2224","Butter and other fats and oils derived from milk","not for feed"
"2225","Cheese, fresh or processed","not for feed"
"2226","Casein","not for feed"
"2227","Ice cream and other edible ice","not for feed"
"2229","Dairy products n.e.","not for feed"
"22211","Whole milk powder","not for feed"
"22212","Skim milk and whey powder","not for feed"
"22219","Other milk and cream in solid forms, n.e.","not for feed"
"22221","Evaporated milk","not for feed"
"22222","Condensed milk","not for feed"
"22229","Milk and cream, n.e.","not for feed"
"22221.01","Whole Milk, Evaporated","not for feed"
"22221.02","Skim Milk, Evaporated","not for feed"
"22222.01","Whole Milk, Condensed","not for feed"
"22222.02","Skim Milk, Condensed","not for feed"
"22230","Yoghurt and other fermented or acidified milk and cream","not for feed"
"22230.01","Yoghurt","not for feed"
"22230.02","Yoghurt, Concentrated or Unconcent","not for feed"
"22230.03","Buttermilk, Curdled Milk, Acidifie","not for feed"
"22230.04","Dry Buttermilk","not for feed"
"22241","Butter and other fats and oils derived from milk of cattle","not for feed"
"22242","Butter and other fats and oils derived from milk of buffalo","not for feed"
"22249","Butter and other fats and oils derived from other milk","not for feed"
"22241.01","Butter of Cow Milk","not for feed"
"22241.02","Ghee from Cow Milk","not for feed"
"22242.01","Butter of Buffalo Milk","not for feed"
"22242.02","Ghee, from Buffalo Milk","not for feed"
"22249.01","Butter and Ghee of Sheep Milk","not for feed"
"22249.02","Butter of Goat Milk","not for feed"
"22251","Cheese from milk of cattle, fresh or processed","not for feed"
"22252","Cheese from milk of buffalo, fresh or processed","not for feed"
"22253","Cheese from milk of sheep, fresh or processed","not for feed"
"22254","Cheese from milk of goats, fresh or processed","not for feed"
"22259","Cheese, fresh or processed, n.e.","not for feed"
"22251.01","Cheese from Whole Cow Milk","not for feed"
"22251.02","Cheese from Skimmed Cow Milk","not for feed"
"22251.03","Whey Cheese","not for feed"
"22251.04","Processed Cheese","not for feed"
"22260","Casein","not for feed"
"22270","Ice cream and other edible ice","not for feed"
"22290","Dairy products n.e.","not for feed"
"2230","Eggs, in shell, preserved or cooked","not for feed"
"22300","Eggs, in shell, preserved or cooked","not for feed"
"231","Grain mill products","not for feed"
"232","Starches and starch products; sugars and sugar syrups n.e.","not for feed"
"233","Preparations used in animal feeding; Lucerne (alfalfa) meal and pellets","not for feed"
"234","Bakery products","not for feed"
"235","Sugar and molasses","not for feed"
"236","Cocoa, chocolate and sugar confectionery","not for feed"
"237","Macaroni, noodles, couscous and similar farinaceous products","not for feed"
"239","Food products n.e./n","not for feed"
"2311","Wheat and meslin flour","not for feed"
"2312","Other cereal flours","not for feed"
"2313","Groats, meal and pellets of wheat and other cereals","not for feed"
"2314","Other cereal grain products (including corn flakes)","not for feed"
"2316","Rice, semi- or wholly milled, or husked","not for feed"
"2317","Other vegetable flours and meals","not for feed"
"2318","Mixes and doughs for the preparation of bakers' wares","not for feed"
"23110","Wheat and meslin flour","not for feed"
"23120","Other cereal flours","not for feed"
"23120.01","Flour of Rice","not for feed"
"23120.02","Barley Flour and Grits","not for feed"
"23120.03","Flour of Maize","not for feed"
"23120.04","Flour of Rye","not for feed"
"23120.05","Flour of Millet","not for feed"
"23120.06","Flour of Sorghum","not for feed"
"23120.07","Flour of Buckwheat","not for feed"
"23120.08","Flour of Fonio","not for feed"
"23120.09","Flour of Triticale","not for feed"
"23120.10","Flour of Mixed Grain","not for feed"
"23120.90","Flour of Cereals nes","not for feed"
"23130","Groats, meal and pellets of wheat and other cereals","not for feed"
"23130.01","Groats, meal and pellets of Wheat","not for feed"
"23130.02","Groats, meal and pellets  of Rice","not for feed"
"23130.03","Groats, meal and pellets of Barley","not for feed"
"23130.04","Groats, meal and pellets of Maize","not for feed"
"23130.05","Groats, meal and pellets  of Rye","not for feed"
"23130.06","Groats, meal and pellets of Millet","not for feed"
"23130.07","Groats, meal and pellets  of Sorghum","not for feed"
"23130.08","Groats, meal and pellets of Buckwheat","not for feed"
"23130.09","Groats, meal and pellets of Fonio","not for feed"
"23130.10","Groats, meal and pellets of Triticale","not for feed"
"23130.11","Groats, meal and pellets of Mixed Grain","not for feed"
"23130.90","Groats, meal and pellets of Cereals n.e.","not for feed"
"23140","Other cereal grain products (including corn flakes)","not for feed"
"23140.01","Germ of Wheat","not for feed"
"23140.02","Bulgur","not for feed"
"23140.03","Breakfast Cereals","not for feed"
"23140.04","Pot Barley","not for feed"
"23140.05","Barley, Pearled","not for feed"
"23140.06","Germ of Maize","not for feed"
"23140.07","Oats, Rolled","not for feed"
"23140.08","Cereal Preparations","not for feed"
"23161","Rice, semi- or wholly milled","not for feed"
"23162","Husked rice","not for feed"
"23161.01","Rice, Milled (Husked)","not for feed"
"23161.02","Rice, Milled","not for feed"
"23161.03","Rice, Broken","not for feed"
"23170","Other vegetable flours and meals","not for feed"
"23170.01","Flour of Cassava","not for feed"
"23170.02","Flour of Roots and Tubers nes","not for feed"
"23170.03","Flour of Pulses","not for feed"
"23170.04","Flour of Fruits","not for feed"
"23180","Mixes and doughs for the preparation of bakers' wares","not for feed"
"2321","Glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syrup; invert sugar; sugars and sugar syrups n.e.; artificial honey; caramel","not for feed"
"2322","Starches; inulin; wheat gluten; dextrins and other modified starches","not for feed"
"2323","Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, siftings or similar forms","not for feed"
"23210","Glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syrup; invert sugar; sugars and sugar syrups n.e.; artificial honey; caramel","not for feed"
"23210.01","Fructose, Chemically Pure","not for feed"
"23210.02","Maltose, Chemically Pure","not for feed"
"23210.03","Other Fructose and Syrup","not for feed"
"23210.04","Sugar and Syrups nes","not for feed"
"23210.05","Glucose and Dextrose","not for feed"
"23210.06","Lactose","not for feed"
"23210.07","Glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syrup; invert sugar; sugars and sugar syrups n.e.; artificial honey; caramel","not for feed"
"23210.08","Isoglucose","not for feed"
"23220","Starches; inulin; wheat gluten; dextrins and other modified starches","not for feed"
"23220.01","Starch of Wheat","not for feed"
"23220.02","Wheat Gluten","not for feed"
"23220.03","Starch of Rice","not for feed"
"23220.04","Starch of Maize","not for feed"
"23220.05","Starch of Potatoes","not for feed"
"23220.06","Starch of Cassava","not for feed"
"23230","Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, siftings or similar forms","not for feed"
"23230.01","Tapioca of Potatoes","not for feed"
"23230.02","Tapioca of Cassava","not for feed"
"2331","Preparations used in animal feeding","not for feed"
"2332","Lucerne (alfalfa) meal and pellets","not for feed"
"23311","Dog or cat food, put up for retail sale","not for feed"
"23319","Preparations used in animal feeding n.e.","feedOnly"
"23319.01","Compound Feed, Cattle","feedOnly"
"23319.02","Compound Feed, Poultry","feedOnly"
"23319.03","Compound Feed, Pigs","feedOnly"
"23319.04","Compound Feed nes","feedOnly"
"23319.05","Feed Yeast","feedOnly"
"23319.06","Feed Supplements","feedOnly"
"23319.07","Non-Protein Nitrogens","feedOnly"
"23319.08","Other Concentrates nes","feedOnly"
"23319.09","Vitamins","feedOnly"
"23319.10","Feed Additives","feedOnly"
"23319.11","Feed Minerals","feedOnly"
"23320","Lucerne (alfalfa) meal and pellets","feedOnly"
"2341","Crispbread; rusks, toasted bread and similar toasted products","not for feed"
"2342","Gingerbread and the like; sweet biscuits; waffles and wafers","not for feed"
"2343","Pastry goods and cakes","not for feed"
"2349","Bread and other bakers' wares","not for feed"
"23410","Crispbread; rusks, toasted bread and similar toasted products","not for feed"
"23420","Gingerbread and the like; sweet biscuits; waffles and wafers","not for feed"
"23430","Pastry goods and cakes","not for feed"
"23490","Bread and other bakers' wares","not for feed"
"23490.01","Bread and other bakersâ wares, nec","not for feed"
"23490.02","Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","not for feed"
"2351","Raw cane or beet sugar","not for feed"
"2352","Refined sugar","not for feed"
"2353","Refined cane or beet sugar, in solid form, containing added flavouring or colouring matter; maple sugar and maple syrup","not for feed"
"2354","Molasses (from beet, cane and maize)","not for feed"
"23511","Cane sugar","not for feed"
"23512","Beet sugar","not for feed"
"23511.01","Non-centrifugal (cane)","not for feed"
"23520","Refined sugar","not for feed"
"23530","Refined cane or beet sugar, in solid form, containing added flavouring or colouring matter; maple sugar and maple syrup","not for feed"
"23540","Molasses (from beet, cane and maize)","not for feed"
"2361","Cocoa paste, whether or not defatted","not for feed"
"2362","Cocoa butter, fat and oil","not for feed"
"2363","Cocoa powder, not sweetened","not for feed"
"2364","Cocoa powder, sweetened","not for feed"
"2365","Chocolate and other food preparations containing cocoa (except sweetened cocoa powder), in bulk forms","not for feed"
"2366","Chocolate and other food preparations containing cocoa (except sweetened cocoa powder), other than in bulk forms","not for feed"
"2367","Sugar confectionery (including white chocolate), not containing cocoa; vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar","not for feed"
"236A","Cocoa powder, sweetened; chocolate and other food preparations containing cocoa","not for feed"
"236B","Cocoa paste defatted and cocoa powder sweetened","not for feed"
"23610","Cocoa paste, whether or not defatted","not for feed"
"23610.01","Cocoa paste not defatted","not for feed"
"23610.02","Cocoa paste defatted","not for feed"
"23620","Cocoa butter, fat and oil","not for feed"
"23630","Cocoa powder, not sweetened","not for feed"
"23640","Cocoa powder, sweetened","not for feed"
"23650","Chocolate and other food preparations containing cocoa (except sweetened cocoa powder), in bulk forms","not for feed"
"23660","Chocolate and other food preparations containing cocoa (except sweetened cocoa powder), other than in bulk forms","not for feed"
"23670","Sugar confectionery (including white chocolate), not containing cocoa; vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar","not for feed"
"23670.01","Sugar Confectionery","not for feed"
"23670.02","Fruit, Nuts, Peel, Sugar Preserved","not for feed"
"2371","Uncooked pasta, not stuffed or otherwise prepared","not for feed"
"2372","Pasta, cooked, stuffed or otherwise prepared; couscous","not for feed"
"23710","Uncooked pasta, not stuffed or otherwise prepared","not for feed"
"23721","Pasta, cooked, stuffed or otherwise prepared (but not as a complete dish); couscous, except as a complete dish","not for feed"
"23722","Prepared dishes containing stuffed pasta; prepared couscous dishes","not for feed"
"2391","Coffee and tea","not for feed"
"2392","Spices and aromatics, processed","not for feed"
"2399","Other food products","not for feed"
"23911","Coffee, decaffeinated or roasted","not for feed"
"23912","Coffee substitutes containing coffee; extracts, essences and concentrates of coffee, and preparations with a basis thereof or with a basis of coffee; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof","not for feed"
